,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
188,31,0.3,8,0.6,0.73261909,0.8955169
189,40,0.3,8,0.6,0.732534625,0.88921833
190,4,0.4,8,0.6,1.390548101,1.4313407
191,13,0.4,8,0.6,1.403801968,1.430584
192,22,0.4,8,0.6,1.403980368,1.4499273
193,31,0.4,8,0.6,1.403930925,1.4597257
194,40,0.4,8,0.6,1.403747845,1.4572891
195,4,0.5,8,0.6,1.878748768,1.8667836
196,13,0.5,8,0.6,1.87997072,1.8852756
197,22,0.5,8,0.6,1.88012446,1.901596
198,31,0.5,8,0.6,1.921349123,1.9080982
199,40,0.5,8,0.6,1.921627423,1.9034374
200,4,0.6,8,0.6,2.174662787,2.1980577
201,13,0.6,8,0.6,2.206679505,2.233241
202,22,0.6,8,0.6,2.20608329,2.2438915
203,31,0.6,8,0.6,2.205989314,2.2447329
204,40,0.6,8,0.6,2.206439697,2.2359476
205,4,0.7,8,0.6,2.325469683,2.4273076
206,13,0.7,8,0.6,2.360916076,2.4748821
207,22,0.7,8,0.6,2.361532293,2.4813824
208,31,0.7,8,0.6,2.360453353,2.4780004
209,40,0.7,8,0.6,2.361059664,2.4660475
210,4,0.2,20,0.6,2.189349488,2.2784634
211,13,0.2,20,0.6,2.217660938,2.2385993
212,22,0.2,20,0.6,2.217645729,2.2100506
213,31,0.2,20,0.6,2.217072521,2.1748662
214,40,0.2,20,0.6,2.217395909,2.1333807
215,4,0.3,20,0.6,3.566269304,3.6004956
216,13,0.3,20,0.6,3.684001377,3.703059
217,22,0.3,20,0.6,3.684003147,3.6954947
218,31,0.3,20,0.6,3.683961629,3.6832612
219,40,0.3,20,0.6,3.684011036,3.6770773
220,4,0.4,20,0.6,4.774818374,4.723368
221,13,0.4,20,0.6,5.06018108,5.0095673
222,22,0.4,20,0.6,5.059576128,5.0064473
223,31,0.4,20,0.6,5.060131092,4.996279
224,40,0.4,20,0.6,5.059472467,5.0057325
225,4,0.5,20,0.6,5.6062912,5.516666
226,13,0.5,20,0.6,5.978885437,6.0154624
227,22,0.5,20,0.6,5.978867562,6.0143466
228,31,0.5,20,0.6,5.978574451,5.9969025
229,40,0.5,20,0.6,5.97873348,6.006284
230,4,0.6,20,0.6,5.916585636,5.893579
231,13,0.6,20,0.6,6.619327662,6.597794
232,22,0.6,20,0.6,6.618458802,6.609792
233,31,0.6,20,0.6,6.618117648,6.5916452
234,40,0.6,20,0.6,6.617915648,6.6002393
235,4,0.7,20,0.6,5.991711753,5.933105
236,13,0.7,20,0.6,6.778708223,6.767006
237,22,0.7,20,0.6,6.777545239,6.8019767
238,31,0.7,20,0.6,6.776726311,6.7929587
239,40,0.7,20,0.6,6.775995377,6.805228
240,4,0.2,32,0.6,4.084351351,4.201311
241,13,0.2,32,0.6,4.185971884,4.3234835
242,22,0.2,32,0.6,4.186205158,4.2806625
243,31,0.2,32,0.6,4.189104304,4.243318
244,40,0.2,32,0.6,4.186112031,4.230161
245,4,0.3,32,0.6,6.649389214,6.3123493
246,13,0.3,32,0.6,7.097321753,6.8121295
247,22,0.3,32,0.6,7.097678615,6.7945905
248,31,0.3,32,0.6,7.095529031,6.7789297
